category_id,name
1,Photography
2,Window Installation
3,Portrait Photography
4,Wedding Band
5,Home Security and Alarms
6,Landscaping
7,TV Mounting
8,Furniture Refinishing
9,Wiring
10,Pest Control Services
11,Lawn Mowing
12,General Contracting
13,Home Remodeling
14,Masonry Services
15,Swimming Pool Cleaning
16,Fence Installation
17,Music Lessons
18,Roof Installation or Replacement
19,Headshot Photography
20,Window Cleaning
21,Electrical
22,Spanish Lessons
23,Party Rental Supplies
24,Event Photography
25,Carpet Installation or Replacement
26,Massage Therapy
27,Tiling
28,Food Truck or Cart Services
29,Landscape Design
30,Air Conditioning and Cooling
31,Mold Remediation
32,Clown Entertainment
33,Event Decorator and Designing
34,Guitar Teaching
35,Junk Removal
36,Home Theater Installation
37,Gutter Cleaning
38,Tennis Instruction
39,Painting
40,Karaoke
41,Photo Booth Rental
42,Makeup Artist
43,Bartending
44,Wedding Decorating
45,Hardwood Flooring
46,DJ
47,Boudoir Photography
48,House Cleaning
49,Concrete Driveway Installation
50,SAT Tutoring
51,Party Planning
52,Commercial Photography
53,Piano Lessons
54,ACT Tutoring
55,Floor Tiling
56,Dance Lessons
57,Deck or Porch Services
58,Exterior Painting
59,Laminate and Vinyl Flooring
60,Carpentry and Woodworking
61,Singing Lessons
62,Tree Trimming
63,Window Repair
64,Wedding Photography
65,Roof Repair
66,Carpentry
67,Event Lighting Sound and Video Services
68,Algebra Tutoring
69,Land Surveying
70,Plumbing
71,Mold Inspection
72,Florist
73,Videography
74,Carpet Cleaning
75,Real Estate Inspection
76,Moon Bounce Rental Services
77,Interior Painting
78,Stump Grinding and Removal
79,Power Washing
80,Tree and Shrub Service
81,Wedding Videography
82,Video Filming
83,Face Painting
84,Upholstery and Furniture Cleaning
85,Door Installation
86,Lawncare
87,Concrete Services
88,Furniture Assembly
89,Engagement Photography
90,Fence Repair
91,Architectural Services
92,Cabinetry
93,Pastry Chef Services
94,Personal Chef Services
95,Math Tutoring
96,Wedding Transportation
97,Nutritionist
98,Local Moving (under 50 miles)
99,Band Entertainment
100,Wedding Officiant
101,Flooring
102,Handyman
103,Catering
104,Personal Training
105,Ducts and Vents
106,Wedding Planning
107,Home Staging
108,Balloon Artistry
109,Interior Design
110,Magician
111,Commercial Cleaning
112,Yoga Lessons
113,Swimming Lessons
